
[2015/5/14 11:53:31] Start Job [CtripPackageCrawlerJob]
[2015/5/14 11:54:22] HotelID£º441036 Night:2015-05-14
[2015/5/14 12:06:16] Insert BaseRoom
[2015/5/14 12:06:17] Insert Room
[2015/5/14 12:06:17] Insert Room
[2015/5/14 12:06:17] Insert Room
[2015/5/14 12:06:18] Insert Room
[2015/5/14 12:06:18] Insert Room
[2015/5/14 12:06:18] Insert BaseRoom
[2015/5/14 12:06:18] Insert Room
[2015/5/14 12:06:18] Insert Room
[2015/5/14 12:06:18] Insert Room
[2015/5/14 12:06:18] Insert BaseRoom
[2015/5/14 12:06:18] Insert Room
[2015/5/14 12:06:18] Insert Room
[2015/5/14 12:06:19] Insert Room
[2015/5/14 12:06:19] Insert Room
[2015/5/14 12:06:19] Insert BaseRoom
[2015/5/14 12:06:19] Insert Room
[2015/5/14 12:06:19] Insert Room
[2015/5/14 12:06:19] Insert Room
[2015/5/14 12:06:19] Insert BaseRoom
[2015/5/14 12:06:19] Insert Room
[2015/5/14 12:06:20] Insert Room
[2015/5/14 12:06:20] Insert BaseRoom
[2015/5/14 12:06:20] Insert Room
[2015/5/14 12:06:20] Insert BaseRoom
[2015/5/14 12:06:20] Insert Room
[2015/5/14 12:06:20] Insert BaseRoom
[2015/5/14 12:06:20] Insert Room
[2015/5/14 12:06:20] Insert BaseRoom
[2015/5/14 12:06:20] Insert Room
[2015/5/14 12:06:20] Insert BaseRoom
[2015/5/14 12:06:20] Insert Room
[2015/5/14 12:06:21] Insert BaseRoom
[2015/5/14 12:06:21] Insert Room
[2015/5/14 12:06:21] Insert BaseRoom
[2015/5/14 12:06:21] Insert Room
[2015/5/14 12:06:21] Insert BaseRoom
[2015/5/14 12:06:21] Insert Room
[2015/5/14 12:06:21] Insert Room
[2015/5/14 12:06:21] Insert BaseRoom
[2015/5/14 12:06:21] Insert Room
[2015/5/14 12:06:21] Insert BaseRoom
[2015/5/14 12:06:21] Insert Room
[2015/5/14 12:06:21] Insert Room
[2015/5/14 12:06:21] Insert BaseRoom
[2015/5/14 12:06:22] Insert Room
[2015/5/14 12:06:22] Insert Room
[2015/5/14 12:06:22] Insert BaseRoom
[2015/5/14 12:06:22] Insert Room
[2015/5/14 12:06:22] Insert BaseRoom
[2015/5/14 12:06:22] Insert Room
[2015/5/14 12:06:22] Insert BaseRoom
[2015/5/14 12:06:22] Insert Room
[2015/5/14 12:06:22] Insert BaseRoom
[2015/5/14 12:06:22] Insert Room
[2015/5/14 12:06:22] Insert BaseRoom
[2015/5/14 12:06:22] Insert Room
[2015/5/14 12:06:23] Insert BaseRoom
[2015/5/14 12:06:23] Insert Room
[2015/5/14 12:06:23] Insert Room
[2015/5/14 12:06:23] Insert BaseRoom
[2015/5/14 12:06:23] Insert Room
[2015/5/14 12:06:23] Insert Room
[2015/5/14 12:06:23] Insert Room
[2015/5/14 12:06:23] Insert Room
[2015/5/14 12:06:23] Insert BaseRoom
[2015/5/14 12:06:24] Insert Room
[2015/5/14 12:06:24] Insert Room
[2015/5/14 12:06:24] Insert Room
[2015/5/14 12:06:24] Insert Room
[2015/5/14 12:14:02] HotelID£º441036 Night:2015-05-15
